Module Marks Summer 2013. ,,,,,
Undergraduate Degree Students,,,,,
Some qualifications are excluded (THEO COMDEG LOCDEG COMMST DEFT & DISDEG),,,,,
"Includes block codes 1,51,5S,R2 and 2 but excludes RB (year long)",,,,,
,,,,,
,,,,,
Qual Code,Qual Description,Year,Module,Mark,Grade
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN114,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN114,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,23,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,29,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,59,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,59,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,59,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,67,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,69,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,71,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,73,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,73,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,73,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN122,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN110,63,PASS
